## Dateiname: 2-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 2-Gramme: 1772106
lk 0.03606 108_107
dd 0.03600 100_100
K· 0.03566 75_183
ib 0.03561 105_98
 C 0.03538 32_67
k· 0.03425 107_183
Ei 0.03420 69_105
pp 0.03386 112_112
Na 0.03380 78_97
n! 0.03375 110_33
nf 0.03375 110_102
u· 0.03335 117_183
·b 0.03318 10_98
ca 0.03296 99_97
Ja 0.03284 74_97
rw 0.03273 114_119
zi 0.03256 122_105
Ic 0.03228 73_99
Ab 0.03211 65_98
An 0.03205 65_110
·m 0.03171 183_109
ap 0.03160 97_112
Fe 0.03138 70_101
Re 0.03104 82_101
Sp 0.03104 83_112
·A 0.03098 10_65
l, 0.03087 108_44
 = 0.03070 32_61
bt 0.03059 98_116
Go 0.03025 71_111
Ve 0.03025 86_101
·n 0.03002 10_110
·g 0.02991 183_103
s. 0.02951 115_46
·m 0.02951 10_109
p  0.02929 112_32
Do 0.02929 68_111
Bl 0.02906 66_108
·G 0.02901 10_71
Le 0.02889 76_101
Ba 0.02878 66_97
nc 0.02867 110_99
ep 0.02861 101_112
 1 0.02855 32_49
pl 0.02850 112_108
gu 0.02838 103_117
ea 0.02788 101_97
·, 0.02759 183_44
ds 0.02737 100_115
av 0.02731 97_118
mt 0.02720 109_116
o· 0.02669 111_183
ku 0.02663 107_117
,· 0.02663 44_183
kr 0.02652 107_114
sg 0.02641 115_103
oo 0.02624 111_111
Mi 0.02596 77_105
ks 0.02584 107_115
i· 0.02562 105_183
dl 0.02534 100_108
·k 0.02522 10_107
Tr 0.02522 84_114
Ki 0.02517 75_105
Ta 0.02511 84_97
g· 0.02505 103_13
pt 0.02494 112_116
g. 0.02477 103_46
Gu 0.02472 71_117
lg 0.02460 108_103
Kr 0.02438 75_114
Ar 0.02432 65_114
d. 0.02421 100_46
Li 0.02393 76_105
nh 0.02393 110_104
Br 0.02387 66_114
·d 0.02381 183_100
s· 0.02347 115_183
ms 0.02325 109_115
Ho 0.02325 72_111
ex 0.02319 101_120
m, 0.02302 109_44
Sa 0.02274 83_97
Fl 0.02268 70_108
Kl 0.02235 75_108
Es 0.02229 69_115
Fo 0.02218 70_111
ai 0.02201 97_105
nm 0.02201 110_109
·E 0.02184 10_69
ja 0.02178 106_97
·W 0.02167 10_87
Fa 0.02161 70_97
iv 0.02133 105_118
tm 0.02133 116_109
·K 0.02122 10_75
Ga 0.02122 71_97
oj 0.02099 111_106
Fu 0.02099 70_117
·B 0.02094 10_66
ip 0.02077 105_112
mo 0.02077 109_111
 ( 0.02065 32_40
·D 0.02060 183_68
uh 0.02037 117_104
=  0.02037 61_32
·M 0.02031 10_77
t! 0.01981 116_33
·z 0.01975 10_122
Wo 0.01975 87_111
lm 0.01975 108_109
ak 0.01958 97_107
·f 0.01958 10_102
·H 0.01952 10_72
ml 0.01947 109_108
bo 0.01936 98_111
En 0.01936 69_110
a, 0.01919 97_44
·F 0.01919 10_70
Ri 0.01913 82_105
ry 0.01913 114_121
t; 0.01902 116_59
e· 0.01890 101_183
po 0.01890 112_111
Ze 0.01885 90_101
;· 0.01879 59_13
Mu 0.01873 77_117
ia 0.01873 105_97
H· 0.01868 72_183
l· 0.01862 108_13
ez 0.01857 101_122
ud 0.01857 117_100
yo 0.01851 121_111
Du 0.01851 68_117
ki 0.01851 107_105
Hu 0.01851 72_117
sl 0.01845 115_108
ci 0.01828 99_105
u· 0.01828 117_13
?· 0.01806 63_183
l. 0.01794 108_46
Va 0.01794 86_97
Ne 0.01794 78_101
·I 0.01789 183_73
?  0.01772 63_32
Zu 0.01772 90_117
n: 0.01766 110_58
·l 0.01761 10_108
·T 0.01761 10_84
Ra 0.01755 82_97
o· 0.01755 111_13
Bo 0.01755 66_111
lz 0.01744 108_122
n? 0.01732 110_63
·U 0.01727 10_85
M· 0.01721 77_183
Hi 0.01693 72_105
ay 0.01676 97_121
ok 0.01665 111_107
za 0.01642 122_97
bg 0.01642 98_103
 y 0.01642 32_121
ys 0.01608 121_115
Su 0.01586 83_117
z· 0.01580 122_183
rp 0.01569 114_112
Nu 0.01552 78_117
·S 0.01546 183_83
e; 0.01529 101_59
lf 0.01524 108_102
h. 0.01512 104_46
eo 0.01490 101_111
go 0.01478 103_111
·V 0.01473 10_86
zo 0.01439 122_111
Bu 0.01439 66_117
Ob 0.01428 79_98
ju 0.01428 106_117
e: 0.01422 101_58
ph 0.01422 112_104
nw 0.01416 110_119
·W 0.01411 183_87
e! 0.01405 101_33
To 0.01399 84_111
-t 0.01394 45_116
's 0.01388 39_115
dt 0.01388 100_116
Zw 0.01377 90_119
Gl 0.01371 71_108
Mo 0.01371 77_111
Pa 0.01360 80_97
ow 0.01354 111_119
gk 0.01349 103_107
g- 0.01343 103_45
k, 0.01332 107_44
1. 0.01320 49_46
sw 0.01320 115_119
ik 0.01309 105_107
·t 0.01309 10_116
F· 0.01309 70_183
·L 0.01304 10_76
·I 0.01304 10_73
Ju 0.01298 74_117
gn 0.01287 103_110
Kn 0.01287 75_110
aa 0.01281 97_97
pu 0.01270 112_117
Lu 0.01264 76_117
Co 0.01247 67_111
f, 0.01247 102_44
Bi 0.01236 66_105
g· 0.01230 103_183
sh 0.01230 115_104
Te 0.01225 84_101
)  0.01213 41_32
f· 0.01208 102_13
nr 0.01196 110_114
·f 0.01191 183_102
ny 0.01191 110_121
!· 0.01191 33_13
Ur 0.01168 85_114
qu 0.01146 113_117
zl 0.01146 122_108
·P 0.01140 10_80
Ro 0.01123 82_111
Fi 0.01123 70_105
·o 0.01100 10_111
Ku 0.01095 75_117
·. 0.01089 183_46
d· 0.01078 100_183
tg 0.01078 116_103
cr 0.01067 99_114
nv 0.01061 110_118
Pf 0.01055 80_102
·A 0.01055 183_65
xe 0.01044 120_101
·E 0.01044 183_69
 2 0.01044 32_50
ly 0.01044 108_121
gg 0.01038 103_103
·N 0.01033 10_78
rv 0.01027 114_118
ov 0.01027 111_118
Ch 0.01021 67_104
:· 0.01016 58_13
·r 0.01010 10_114
m. 0.01004 109_46
Dr 0.00988 68_114
't 0.00988 39_116
vu 0.00982 118_117
Ti 0.00971 84_105
Pe 0.00959 80_101
·p 0.00959 10_112
 3 0.00948 32_51
uw 0.00948 117_119
Cr 0.00942 67_114
Tu 0.00942 84_117
r! 0.00937 114_33
Wu 0.00937 87_117
t: 0.00937 116_58
h! 0.00931 104_33
·R 0.00920 10_82
0  0.00914 48_32
hk 0.00903 104_107
R· 0.00903 82_183
sk 0.00897 115_107
